experiment_id,date_utc,member,branch,model_name,n_samples,n_features,cv_strategy,primary_metric,primary_score_mean,primary_score_std,fit_time_mean,status,summary_file
M01-DUMMY-001,2026-08-01T13:44:56+00:00,Member 01,feature/data_processing,DummyClassifier (most_frequent),160000,200,StratifiedKFold,roc_auc,0.5,0.0,0.1724989891052246,completed,reports/experiments/M01-DUMMY-001_summary.json
M01-DUMMY-002,2026-08-01T13:45:04+00:00,Member 01,feature/data_processing,DummyClassifier (prior),160000,200,StratifiedKFold,roc_auc,0.5,0.0,0.1735894203186035,completed,reports/experiments/M01-DUMMY-002_summary.json
M01-DUMMY-003,2026-08-01T13:45:31+00:00,Member 01,feature/data_processing,DummyClassifier (stratified),160000,200,StratifiedKFold,roc_auc,0.4995223309624325,0.0031985518137402,0.1726727962493896,completed,reports/experiments/M01-DUMMY-003_summary.json
M01-DUMMY-004,2026-08-01T13:45:58+00:00,Member 01,feature/data_processing,DummyClassifier (uniform),160000,200,StratifiedKFold,roc_auc,0.5,0.0,0.1756191730499267,completed,reports/experiments/M01-DUMMY-004_summary.json
M01-LR-001,2026-08-01T14:24:56+00:00,Member 01,feature/data_processing,Logistic Regression L2 Baseline,160000,200,StratifiedKFold,roc_auc,0.8591877677367241,0.0032390713059821,0.6449848175048828,completed,reports/experiments/M01-LR-001_summary.json
M01-LR-002,2026-08-01T19:28:39+00:00,Member 01,feature/data_processing,Logistic Regression L2 Balanced,160000,200,StratifiedKFold,roc_auc,0.8590114109697774,0.003120674002286,0.6691200256347656,completed,reports/experiments/M01-LR-002_summary.json
M03-FS-001,2026-08-20T01:30:45+00:00,Member 03,feature/feature-selection,L1 Feature Selection + Logistic Regression,160000,200,StratifiedKFold,roc_auc,0.8591867544428983,0.0032368413458844,15.876452159881593,completed,reports/experiments/M03-FS-001_summary.json
M03-PCA-001,2026-08-20T01:32:30+00:00,Member 03,feature/pca,PCA + Logistic Regression,160000,200,StratifiedKFold,roc_auc,0.8588653022651632,0.0032673637463311858,2.197425127029419,completed,reports/experiments/M03-PCA-001_summary.json
M04-HGB-001,2026-08-12T01:08:01+00:00,Member 04,feature/model-optimization,HistGradientBoosting Baseline,160000,200,StratifiedKFold,roc_auc,0.8845963847629816,0.0032777601528896,50.08309302330017,completed,reports/experiments/M04-HGB-001_summary.json
M04-HGB-002,2026-08-22T03:01:45+00:00,Member 04,feature/model-optimization,HistGradientBoosting Tuned,160000,200,StratifiedKFold,roc_auc,0.8914490594718993,0.0028364521368533825,115.01385912895202,completed,reports/experiments/M04-HGB-002_summary.json
