experiment_id,member,model_name,model_family,branch,date_utc,n_samples,n_features,primary_metric,roc_auc_mean,roc_auc_std,train_roc_auc_mean,roc_auc_generalization_gap,fit_time_mean,fit_time_std,convergence_status,estimator_class,pipeline_steps,summary_file,source_type,status,n_splits,cv_strategy,random_state,target_distribution,data_source,final_test_used,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,missing_metadata,shared_metadata_provenance,inherited_metadata_fields
M01-DUMMY-001,Member 01,DummyClassifier (most_frequent),DUMMY,feature/data_processing,2026-08-01T13:44:56+00:00,160000,200,roc_auc,0.5,0.0,0.5,0.0,0.1724989891052246,0.019149789366943167,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.10048750000000002,1.5309310892399974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8995124999999999,1.530931089241357e-05,0.5,0.0,[],reports/tables/train_test_split_summary.json,['data_source']
M01-DUMMY-002,Member 01,DummyClassifier (prior),DUMMY,feature/data_processing,2026-08-01T13:45:04+00:00,160000,200,roc_auc,0.5,0.0,0.5,0.0,0.17358942031860353,0.03151583220113543,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-002_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.10048750000000002,1.5309310892399974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8995124999999999,1.530931089241357e-05,0.5,0.0,[],reports/tables/train_test_split_summary.json,['data_source']
M01-DUMMY-003,Member 01,DummyClassifier (stratified),DUMMY,feature/data_processing,2026-08-01T13:45:31+00:00,160000,200,roc_auc,0.49952233096243254,0.0031985518137402176,0.4995012634617245,-2.106750070801633e-05,0.17267279624938964,0.01650356643431027,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-003_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.10043521051741364,0.0005613043365328289,0.09941370385117088,0.005773307363894994,0.09962523422860711,0.005792391315112872,0.09920307095935563,0.005754334016676423,0.8193875,0.001145064135758346,0.49952233096243254,0.003198551813740188,[],reports/tables/train_test_split_summary.json,['data_source']
M01-DUMMY-004,Member 01,DummyClassifier (uniform),DUMMY,feature/data_processing,2026-08-01T13:45:58+00:00,160000,200,roc_auc,0.5,0.0,0.5,0.0,0.17561917304992675,0.02251310385616727,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-004_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.10048750000000002,1.5309310892399974e-05,0.16730112178750087,0.002627138670126741,0.10044966275293529,0.0015792624835971644,0.5001857160542544,0.007807567537535286,0.4996625,0.0015691608027860093,0.4998948395527717,0.0043398964738884304,[],reports/tables/train_test_split_summary.json,['data_source']
M01-ET-001,Member 01,Extra Trees Baseline,EXTRA_TREES,develop,2026-08-26T15:48:27+00:00,160000,200,roc_auc,0.8479455541940222,0.0030731569763638128,0.9098900815802884,0.06194452738626621,4.988862037658691,0.28755797913450276,converged,sklearn.ensemble._forest.ExtraTreesClassifier,,reports/experiments/M01-ET-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.47545878869309843,0.007537188477520056,0.4419429728521318,0.002289565329789582,0.33057518480838366,0.0019827777264100864,0.6665001199291258,0.004819603519023566,0.8308562499999999,0.0011763622422536592,0.7578585253530987,0.0021287878322584944,[],reports/tables/train_test_split_summary.json,['data_source']
M01-LR-001,Member 01,Logistic Regression L2 Baseline,LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T14:24:56+00:00,160000,200,roc_auc,0.8591877677367241,0.0032390713059821433,0.8615245959878856,0.002336828251161438,0.6449848175048828,0.07702609625814298,converged,sklearn.pipeline.Pipeline,"['scaler', 'classifier']",reports/experiments/M01-LR-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.5075655819077997,0.00848952265957052,0.3903605881459114,0.0023705124516162717,0.6888128436747918,0.01840517893911938,0.2724844285570592,0.004297276100250785,0.9144812499999999,0.0008302390469015303,0.6293426464034542,0.0015645099037758397,[],reports/tables/train_test_split_summary.json,['data_source']
M01-LR-002,Member 01,Logistic Regression L2 Balanced,LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T19:28:39+00:00,160000,200,roc_auc,0.8590114109697774,0.0031206740022860662,0.861822965123461,0.0028115541536836153,0.6691200256347656,0.06099795438971107,converged,sklearn.pipeline.Pipeline,"['scaler', 'classifier']",reports/experiments/M01-LR-002_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.50643046793452,0.00851868349710585,0.41605871111685666,0.004550505268395757,0.28455981272262276,0.0034881769143499837,0.7735412943060745,0.006955296101101157,0.7817937500000001,0.002645795603405533,0.7781284537742248,0.004113206947351078,[],reports/tables/train_test_split_summary.json,['data_source']
M02-DT-001,Member 02,Decision Tree,OTHER,feature/eda+tree_models,2026-08-20T14:16:13+00:00,160000,200,roc_auc,0.6339354322321611,0.0031191206057672024,0.6508531265957416,0.016917694363580482,29.25893874168396,1.5851395134684527,converged,sklearn.tree._classes.DecisionTreeClassifier,,reports/experiments/M02-DT-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.16397283538659962,0.0026746878398985485,0.2379879559981056,0.0033661706937617307,0.15180614895793745,0.004747520931096124,0.5543002328946248,0.03496085620362143,0.6429625,0.027270193206136252,0.6035840430309249,0.0033000915141740135,[],reports/tables/train_test_split_summary.json,['data_source']
M02-RF-001,Member 02,Random Forest,RANDOM_FOREST,feature/eda+tree_models,2026-08-20T14:23:30+00:00,160000,200,roc_auc,0.7937357918468211,0.0023922196266006183,0.8685936494720432,0.07485785762522212,73.62171373367309,2.5500427298886548,converged,sklearn.ensemble._forest.RandomForestClassifier,,reports/experiments/M02-RF-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.3691141225453217,0.0068015021945705915,0.3686465354247463,0.0027905438981289965,0.2613554223951074,0.002961909970001534,0.6254507981089885,0.0020725794078024955,0.7847,0.0029393345335296593,0.7139704904641062,0.0013512356856403259,[],reports/tables/train_test_split_summary.json,['data_source']
M03-FS-001,Member 03,L1 Feature Selection + Logistic Regression,FEATURE_SELECTION,feature/feature-selection,2026-08-20T01:30:45+00:00,160000,200,roc_auc,0.8591867544428983,0.0032368413458844546,0.861524603416774,0.002337848973875678,15.876452159881591,1.0430611128093885,converged,sklearn.pipeline.Pipeline,"['scaler', 'classifier']",reports/experiments/M03-FS-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.5075662719100904,0.008486029925975375,0.3905611621714344,0.0022537679504811693,0.6888338508995964,0.018355874929418182,0.27267099572123826,0.004092937535871095,0.9144937499999999,0.0008409444095776981,0.6294324558332368,0.0014771976528306118,[],reports/tables/train_test_split_summary.json,['data_source']
M03-PCA-001,Member 03,PCA + Logistic Regression,PCA,feature/pca,2026-08-20T01:32:30+00:00,160000,200,roc_auc,0.8588653022651632,0.0032673637463311858,0.8612049368123895,0.002339634547226299,2.197425127029419,0.16055601309787346,converged,sklearn.pipeline.Pipeline,"['scaler', 'classifier']",reports/experiments/M03-PCA-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.506556297709609,0.008464741294877351,0.3895998871188267,0.0030888137264108396,0.6891661099539708,0.01724642672425054,0.2716758354417647,0.004450575177934521,0.9144625000000002,0.0007948565122083307,0.6289730906447164,0.0017389327085586604,[],reports/tables/train_test_split_summary.json,['data_source']
M04-HGB-001,Member 04,HistGradientBoosting Baseline,HIST_GRADIENT_BOOSTING,feature/model-optimization,2026-08-12T01:08:01+00:00,160000,200,roc_auc,0.8845963847629816,0.0032777601528896512,0.9756590341321812,0.09106264936919961,50.08309302330017,12.495335910351617,converged,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,,reports/experiments/M04-HGB-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.5728792216100832,0.00927686169653472,0.3872554085638541,0.006898482877878824,0.7826709844016149,0.015586492045522355,0.2573073590059036,0.005220336201425269,0.91818125,0.0008730782467797619,0.6246584605930968,0.0026927185378568972,[],reports/tables/train_test_split_summary.json,['data_source']
M04-HGB-002,Member 04,HistGradientBoosting Tuned,HIST_GRADIENT_BOOSTING,feature/model-optimization,2026-08-22T03:01:45+00:00,160000,200,roc_auc,0.8914490594718993,0.0028364521368533825,0.9735798564387821,0.08213079696688275,115.01385912895202,12.708478228777176,converged,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,,reports/experiments/M04-HGB-002_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.5910892652910229,0.010028489459778139,0.41524813752426376,0.007033139489982255,0.7957469720820509,0.01830811131373502,0.28094235277732643,0.004640089553081182,0.9204874999999999,0.001089832269204757,0.6364377416827398,0.0025867944449508417,[],reports/tables/train_test_split_summary.json,['data_source']
M01-LR-SEARCH-001::candidate_002,Member 01,Logistic Regression L2 C=0.01 (unweighted),LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T20:25:50.191129+00:00,160000,200,roc_auc,0.8592005385126731,0.0032365067770609,0.8615255382354043,0.0023249997227312,6.603796863555909,0.7404727518079407,,LogisticRegression,"['scaler', 'classifier']",reports/searches/M01-LR-SEARCH-001_summary.json,grid_search_candidate,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.5075921187936969,0.0084913647082042,0.3858808022085597,0.0036704464874788,0.6914274834758013,0.0183580951372356,0.2677575961560781,0.005161247867716,0.91436875,0.0007928883118068,0.6271807288642834,0.0020520213886759,[],reports/tables/train_test_split_summary.json,"['target_distribution', 'data_source']"
M01-LR-SEARCH-001::candidate_004,Member 01,Logistic Regression L2 C=0.01 (balanced),LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T20:25:50.191129+00:00,160000,200,roc_auc,0.8590174222233523,0.0031216959917301,0.861822689896783,0.0028052676734307,12.43403205871582,1.8661482303367931,,LogisticRegression,"['scaler', 'classifier']",reports/searches/M01-LR-SEARCH-001_summary.json,grid_search_candidate,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",OpenML-45566,False,0.5064538296644671,0.008517913160463,0.4161190600297669,0.004542845804853,0.2845993675653989,0.0034916268871089,0.7736656917589346,0.0068288729403232,0.7818125,0.0026511347806175,0.7781941271357344,0.0040767029486219,[],reports/tables/train_test_split_summary.json,"['target_distribution', 'data_source']"
