feature,dtype,count,missing_count,missing_percentage,unique_count,mean,std,min,q01,q25,median,q75,q99,max,zero_count,zero_percentage,positive_infinity_count,negative_infinity_count,is_constant,is_quasi_constant,dominant_value_percentage,memory_bytes
var_0,float64,200000,0,0.0,94672,10.679914252,3.040050870668822,0.4084,4.4247950000000005,8.453850000000001,10.524750000000001,12.7582,18.175902,20.315,0,0.0,0,0,False,False,0.0055000000000000005,1600000
var_1,float64,200000,0,0.0,108932,-1.6276216895,4.050044189954996,-15.0434,-9.883609,-4.740025,-1.60805,1.358625,7.5417,10.3768,1,0.0005,0,0,False,False,0.005,1600000
var_2,float64,200000,0,0.0,86555,10.715191850999998,2.6408941917999016,2.1171,5.4567,8.722475,10.58,12.5167,17.320999999999998,19.353,0,0.0,0,0,False,False,0.006,1600000
var_3,float64,200000,0,0.0,74597,6.796529157,2.043319016359727,-0.0402,2.515897,5.254075,6.825,8.3241,11.2126,13.1883,0,0.0,0,0,False,False,0.0075,1600000
var_4,float64,200000,0,0.0,63515,11.078333240500001,1.6231495339368356,5.0748,7.5599989999999995,9.883175000000001,11.10825,12.261125,14.4847,16.6714,0,0.0,0,0,False,False,0.0075,1600000
var_5,float64,200000,0,0.0,141029,-5.0653174935,7.863266683476722,-32.5626,-21.060402,-11.20035,-4.83315,0.9248,12.290505000000005,17.2516,3,0.0015,0,0,False,False,0.0034999999999999996,1600000
var_6,float64,200000,0,0.0,38599,5.4089486815,0.8666072662169011,2.3473,3.6006,4.7677,5.3851,6.002999999999999,7.438301000000001,8.4477,0,0.0,0,0,False,False,0.011000000000000001,1600000
var_7,float64,200000,0,0.0,103063,16.5458498895,3.4180755789371458,5.3497,9.766999,13.9438,16.4568,19.1029,23.892501,27.6918,0,0.0,0,0,False,False,0.0055000000000000005,1600000
var_8,float64,200000,0,0.0,98617,0.28416185,3.3326335367175806,-10.5055,-6.732503,-2.3178,0.3937,2.9379,6.6601,10.1513,1,0.0005,0,0,False,False,0.0055000000000000005,1600000
var_9,float64,200000,0,0.0,49417,7.567236361499999,1.2350699252999375,3.9705,4.7860000000000005,6.6188,7.6296,8.584425,9.8741,11.1506,0,0.0,0,0,False,False,0.009000000000000001,1600000
var_10,float64,200000,0,0.0,128764,0.394340441,5.500793007191906,-20.7313,-11.730304,-3.59495,0.48729999999999996,4.382925,11.977601000000002,18.6702,1,0.0005,0,0,False,False,0.0045000000000000005,1600000
var_11,float64,200000,0,0.0,130193,-3.2455960885,5.97025309550538,-26.095,-16.293509,-7.5106,-3.28695,0.8528249999999999,10.5223,17.1887,2,0.001,0,0,False,False,0.004,1600000
var_12,float64,200000,0,0.0,9561,14.0239777985,0.1900592330753857,13.4346,13.555399000000001,13.894,14.0255,14.1642,14.4199,14.6545,0,0.0,0,0,False,False,0.1015,1600000
var_13,float64,200000,0,0.0,115181,8.530232379000001,4.639535502007197,-6.0111,-2.2879,5.0728,8.60425,12.274775,17.348302,22.3315,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_14,float64,200000,0,0.0,79122,7.5376061135,2.2479082450576504,1.0133,3.0460000000000003,5.781875,7.5203,9.270425,12.207304000000004,14.9377,0,0.0,0,0,False,False,0.006,1600000
var_15,float64,200000,0,0.0,19810,14.573125858999997,0.4117114218637693,13.0769,13.7129,14.2628,14.5741,14.8745,15.488,15.8633,0,0.0,0,0,False,False,0.017,1600000
var_16,float64,200000,0,0.0,86918,9.3332641825,2.5574209936662657,0.6351,4.043184,7.452275,9.232050000000001,11.0559,15.547005000000006,17.9506,0,0.0,0,0,False,False,0.006999999999999999,1600000
var_17,float64,200000,0,0.0,137823,-5.696731002,6.712612437614566,-33.3802,-20.667501,-10.476225,-5.6663499999999996,-0.810775,8.40931100000001,19.0259,2,0.001,0,0,False,False,0.004,1600000
var_18,float64,200000,0,0.0,139515,15.244013001999999,7.851370241294043,-10.6642,-0.620801,9.177950000000001,15.19625,21.013325000000002,32.84001400000002,41.748000000000005,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_19,float64,200000,0,0.0,144180,12.438567329500001,7.996693808364899,-12.4025,-3.799422,6.2764750000000005,12.4539,18.4333,30.185814000000015,35.183,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_20,float64,200000,0,0.0,127764,13.290894120499999,5.876253905644905,-5.4322,1.7995910000000002,8.6278,13.1968,17.8794,25.433902000000003,31.2859,0,0.0,0,0,False,False,0.005,1600000
var_21,float64,200000,0,0.0,140062,17.257882793,8.196563646022815,-10.089,-0.810215,11.550999999999998,17.234250000000003,23.08905,35.47361300000001,49.0443,0,0.0,0,0,False,False,0.005,1600000
var_22,float64,200000,0,0.0,90660,4.3054304705,2.8479579398264883,-5.3225,-1.5569009999999999,2.1824,4.27515,6.2932,11.15671000000001,14.5945,2,0.001,0,0,False,False,0.0055000000000000005,1600000
var_23,float64,200000,0,0.0,24913,3.0195397695000006,0.5268934534183293,1.2098,1.911699,2.6341,3.0086500000000003,3.4038,4.175701000000001,4.8752,0,0.0,0,0,False,False,0.016,1600000
var_24,float64,200000,0,0.0,105101,10.5844000705,3.7772452295430945,-0.6784,3.251697,7.613,10.38035,13.4796,18.721302,25.446,0,0.0,0,0,False,False,0.005,1600000
var_25,float64,200000,0,0.0,14853,13.667496003,0.28553546188262496,12.72,13.0803,13.4564,13.6625,13.8637,14.357901000000002,14.6546,0,0.0,0,0,False,False,0.0205,1600000
var_26,float64,200000,0,0.0,127089,-4.055133277,5.922209781187779,-24.2431,-16.543629000000003,-8.321725,-4.1969,-0.0902,10.242307000000007,15.6751,1,0.0005,0,0,False,False,0.0045000000000000005,1600000
var_27,float64,200000,0,0.0,60185,-1.1379075225,1.5237142257081446,-6.1668,-4.253801,-2.3079,-1.1321,0.015625,2.185101000000001,3.2431,5,0.0025,0,0,False,False,0.0075,1600000
