configuration_id,fold,regularization,l1_ratio,C,class_weight,convergence_warning,convergence_warning_messages,n_iter,max_iter,solver,fit_time,validation_roc_auc,validation_average_precision,validation_f1,validation_precision,validation_recall,validation_accuracy,validation_balanced_accuracy
LR-SELECTED-ROC,1,l2,0.0,0.01,,False,,21,2000,saga,3.4703936670557596,0.8585483356389989,0.5023849495665212,0.38998448925326834,0.6779661016949152,0.2737169517884914,0.91396875,0.6295977498216385
LR-SELECTED-ROC,2,l2,0.0,0.01,,False,,19,2000,saga,3.200099791982211,0.8575169318519803,0.5051772829490581,0.3870823054496524,0.6937299035369775,0.26842923794712287,0.91459375,0.6275965887494864
LR-SELECTED-ROC,3,l2,0.0,0.01,,False,,19,2000,saga,3.2450897920061834,0.8654828427864845,0.5232776862433355,0.38084326306141153,0.7238675958188153,0.2583955223880597,0.9155625,0.623691229787693
LR-SELECTED-ROC,4,l2,0.0,0.01,,False,,19,2000,saga,3.258763457997702,0.8581917140948951,0.4986094394946438,0.38230717937319403,0.6703039750584567,0.26741293532338306,0.91315625,0.6263586355327311
LR-SELECTED-ROC,5,l2,0.0,0.01,,False,,20,2000,saga,3.4741002499940805,0.8562628681910072,0.5085112357149262,0.38918677390527256,0.6912698412698413,0.2708333333333333,0.9145625,0.6286594404298684
LR-SELECTED-AP,1,l1,1.0,0.1,,False,,24,2000,saga,5.168315874994732,0.8585088786360834,0.5023252834179767,0.3902654867256637,0.6758620689655173,0.27433903576982893,0.913875,0.629821941021965
LR-SELECTED-AP,2,l1,1.0,0.1,,False,,22,2000,saga,4.651367041980848,0.8574893286987698,0.5051918276033055,0.38988361683079675,0.6951316839584996,0.2709175738724728,0.9148125,0.6288233865540929
LR-SELECTED-AP,3,l1,1.0,0.1,,False,,23,2000,saga,5.183494792028796,0.8654904695014367,0.523398691585331,0.38225880201188844,0.7219343696027634,0.2599502487562189,0.9155625,0.6243817391641017
LR-SELECTED-AP,4,l1,1.0,0.1,,False,,24,2000,saga,5.335389915970154,0.8581643994365997,0.49868269580976843,0.38304482911673327,0.6689922480620155,0.2683457711442786,0.913125,0.626755570397042
LR-SELECTED-AP,5,l1,1.0,0.1,,False,,22,2000,saga,4.7323044169461355,0.8562428507649359,0.508532519071152,0.39017857142857143,0.6914556962025317,0.27176616915422885,0.914625,0.629108487578782
LR-SELECTED-BALANCED,1,l2,0.0,0.01,balanced,False,,31,2000,saga,5.21515800000634,0.8587136357901977,0.501726971016554,0.41826239652144825,0.2860247026532479,0.7779160186625195,0.78259375,0.7805161125099986
LR-SELECTED-BALANCED,2,l2,0.0,0.01,balanced,False,,32,2000,saga,5.4994227919960395,0.8573213649432391,0.5034498185968629,0.4159351789331533,0.2854164253446079,0.766407465007776,0.78375,0.7760472273796915
LR-SELECTED-BALANCED,3,l2,0.0,0.01,balanced,False,,31,2000,saga,5.765678707975894,0.8650260176846452,0.5221261172490302,0.42332214765100673,0.28986672794117646,0.7845149253731343,0.7851875,0.7848887856437656
LR-SELECTED-BALANCED,4,l2,0.0,0.01,balanced,False,,32,2000,saga,6.005182291031815,0.8579124261699425,0.49727479610221326,0.4130705911698678,0.2819203268641471,0.7723880597014925,0.77940625,0.7762892216239536
LR-SELECTED-BALANCED,5,l2,0.0,0.01,balanced,False,,31,2000,saga,5.155722083000001,0.8561136665287377,0.5076914453576747,0.4100049858733588,0.2797686550238149,0.7671019900497512,0.778125,0.7732292885212625
LR-L1-WEAK-REG,1,l1,1.0,100.0,,False,,22,2000,saga,4.691022332990542,0.8585405609399444,0.5023756623195367,0.3931171409662475,0.6760242792109257,0.2771384136858476,0.91403125,0.6311521493477006
LR-L1-WEAK-REG,2,l1,1.0,100.0,,False,,21,2000,saga,4.98644091602182,0.8575055696614927,0.5051419489054652,0.39134315037929496,0.6921862667719021,0.27278382581648525,0.91475,0.6296175512615516
LR-L1-WEAK-REG,3,l1,1.0,100.0,,False,,22,2000,saga,4.441511708952021,0.8654744004667463,0.5232624803908411,0.3883583447021373,0.7225042301184433,0.26554726368159204,0.9159375,0.6270760220575832
LR-L1-WEAK-REG,4,l1,1.0,100.0,,False,,23,2000,saga,5.071927167009562,0.8581917357003198,0.49861453909798853,0.3883623539783998,0.6669190007570023,0.2739427860696517,0.91328125,0.6293282579597842
LR-L1-WEAK-REG,5,l1,1.0,100.0,,False,,20,2000,saga,4.476599542016629,0.8562519358460614,0.508480140158098,0.3920871304734385,0.6874512860483243,0.27425373134328357,0.91453125,0.6301611902964334
